snake,chuyangliu,2017-01-27
malmo,microsoft,2016-08-17
rlcard,datamllab,2019-09-04
MachineLearningStocks,robertmartin8,2017-05-12
leek-wars,leek-wars,2016-12-13
treat,louismullie,2012-04-17
DeepFaceLive,iperov,2021-07-12
Screenshot-to-code,emilwallner,2018-01-16
albumentations,albumentations-team,2018-09-06
ImageAI,OlafenwaMoses,2018-06-20
ChatterBot,gunthercox,2014-12-06
imgaug,aleju,2015-10-10
leon,leon-ai,2019-05-10
susi_server,fossasia,2015-06-04
serenata-de-amor,okfn-brasil,2016-09-27
framework,accord-net,2012-07-08
anomaly-detection-resources,yzhao062,2018-08-16
deepface,serengil,2020-05-08
nsfwjs,infinitered,2019-05-13
BackgroundMattingV2,PeterL1n,2021-03-12
librephotos,LibrePhotos,2017-08-23
pyAudioAnalysis,tyiannak,2014-11-27
autoscraper,alirezamika,2020-12-01
Augmentor,mdbloice,2016-06-01
txtai,neuml,2020-11-09
image-super-resolution,idealo,2019-02-11
pigo,esimov,2018-08-14
olivia,olivia-ai,2018-09-05
Megatron-LM,NVIDIA,2019-06-27
kaolin,NVIDIAGameWorks,2020-02-12
snn_toolbox,NeuromorphicProcessorProject,2016-08-03
asteroid,asteroid-team,2020-01-18
ai-edu,microsoft,2018-12-12
EdgeML,microsoft,2017-11-02
trixi,MIC-DKFZ,2017-11-04
deepxde,lululxvi,2019-05-07
VideoSuperResolution,LoSealL,2018-08-12
buffalo,kakao,2019-11-28
DetectoRS,joe-siyuan-qiao,2018-11-22
voicebook,jim-schwoebel,2018-09-18
DeOldify,jantic,2019-01-30
AutoEq,jaakkopasanen,2018-06-04
adversarial-policies,HumanCompatibleAI,2019-01-28
tetris_mcts,hrpan,2018-05-21
Pedestron,hasanirtiza,2018-11-22
code_search,hamelsmu,2018-08-07
healthcare,GoogleCloudPlatform,2018-05-23
ranking,tensorflow,2019-03-12